"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Sep 21 16:47:51 MSK 2026","Mon Sep 21 16:47:51 MSK 2026","1","tests","test_sample","","","","test_damage_and_armor[high_level_armor-low_level_damage]",""
"passed","Mon Sep 21 16:47:47 MSK 2026","Mon Sep 21 16:47:47 MSK 2026","1","tests.api","test_train_mock_week6","","","","test_get_post_errors[4-404]",""
"passed","Mon Sep 21 16:47:50 MSK 2026","Mon Sep 21 16:47:50 MSK 2026","1","tests","test_sample","","","","test_damage_and_armor[high_level_armor-high_level_damage]",""
"passed","Mon Sep 21 16:47:47 MSK 2026","Mon Sep 21 16:47:47 MSK 2026","1","tests.api","test_train_mock_week6","","","","test_get_post_success[1-Mocked-200]",""
"passed","Mon Sep 21 16:48:39 MSK 2026","Mon Sep 21 16:48:41 MSK 2026","2125","tests.ui","test_search_param","","","","test_duckduckgo_search_parametrized[aqa]",""
"passed","Mon Sep 21 16:47:47 MSK 2026","Mon Sep 21 16:47:47 MSK 2026","1","tests.api","test_train_mock_week6","","","","test_get_post_errors[3-400]",""
"passed","Mon Sep 21 16:47:40 MSK 2026","Mon Sep 21 16:47:41 MSK 2026","497","tests.api","test_practice_week6","","","","test_get_post_validates_with_pydantic",""
"passed","Mon Sep 21 16:47:47 MSK 2026","Mon Sep 21 16:47:47 MSK 2026","1","tests.api","test_train_mock_week6","","","","test_get_post_errors[5-500]",""
"passed","Mon Sep 21 16:47:54 MSK 2026","Mon Sep 21 16:48:15 MSK 2026","21017","tests.ui","test_content_subset","","","","test_features_items_subset",""
"passed","Mon Sep 21 16:47:47 MSK 2026","Mon Sep 21 16:47:47 MSK 2026","1","tests.api","test_train_mock_week6","","","","test_get_post_with_mocker",""
"passed","Mon Sep 21 16:48:42 MSK 2026","Mon Sep 21 16:48:50 MSK 2026","7582","tests.ui","test_search_param","","","","test_duckduckgo_search_parametrized[python]",""
"passed","Mon Sep 21 16:48:35 MSK 2026","Mon Sep 21 16:48:38 MSK 2026","2743","tests.ui","test_search_param","","","","test_duckduckgo_search_parametrized[qa]",""
"passed","Mon Sep 21 16:47:47 MSK 2026","Mon Sep 21 16:47:47 MSK 2026","0","tests","test_sample","","","","test_sample_1",""
"passed","Mon Sep 21 16:48:16 MSK 2026","Mon Sep 21 16:48:34 MSK 2026","18094","tests.ui","test_multi_page_flow","","","","test_add_product_to_cart",""
"passed","Mon Sep 21 16:47:47 MSK 2026","Mon Sep 21 16:47:47 MSK 2026","2","tests.api","test_train_mock_week6","","","","test_get_post_success[2-Maybe_Mocked-201]",""
"passed","Mon Sep 21 16:47:41 MSK 2026","Mon Sep 21 16:47:41 MSK 2026","190","tests.api","test_practice_week6","","","","test_create_post_returns_201_and_validates",""
"passed","Mon Sep 21 16:47:41 MSK 2026","Mon Sep 21 16:47:41 MSK 2026","121","tests.api","test_practice_week6","","","","test_get_posts_by_user_id",""
"skipped","Mon Sep 21 16:47:53 MSK 2026","Mon Sep 21 16:47:53 MSK 2026","1","tests","test_sample","","","","test_damage_and_armor[low_level_armor-low_level_damage]",""
"passed","Mon Sep 21 16:47:52 MSK 2026","Mon Sep 21 16:47:52 MSK 2026","1","tests","test_sample","","","","test_damage_and_armor[low_level_armor-high_level_damage]",""
"passed","Mon Sep 21 16:47:41 MSK 2026","Mon Sep 21 16:47:47 MSK 2026","5322","tests.api","test_train_get_post_week6","","","","test_validate_get_post",""
"passed","Mon Sep 21 16:47:41 MSK 2026","Mon Sep 21 16:47:41 MSK 2026","217","tests.api","test_practice_week6","","","","test_delete_post_returns_200_or_204",""
"passed","Mon Sep 21 16:47:49 MSK 2026","Mon Sep 21 16:47:49 MSK 2026","0","tests","test_sample","","","","test_sample_2",""
